Mix Number,CS 7 Day,CS 14 Day,CS 28 Day,CS 90 Day,MoR 7 Day,MoR 14 Day,MoR 28 Day,MoR 90 Day,MoE 7 Day,MoE 14 Day,MoE 28 Day,MoE 90 Day,PR 7 Day,PR 14 Day,PR 28 Day,PR 90 Day,STS 7 Day,STS 14 Day,STS 28 Day,STS 90 Day,DM 7 Day,DM 14 Day,DM 28 Day,DM 90 Day,CTE 28 Day
87,3934,4781,5324,6341,544,608,713,785,3593500,4118500,4081667,4869000,0.18,0.2,0.18,0.18,395,434,471,522,4436792,4779163,5119869,5671818,9.60E-06
88,3820,4591,4995,5893,563,691,666,884,3246500,3672833,3994500,4757500,0.17,0.17,0.17,0.19,406,479,497,469,4594320,5139796,5361613,5870661,9.77E-06
89,4011,4756,5475,6116,718,797,918,979,4341833,4577167,5026500,5165500,0.17,0.17,0.18,0.17,455,495,510,551,5345679,5742790,5924142,6201295,8.87E-06
90,5303,6425,7092,8091,587,633,726,857,3337500,3648167,4537167,4522167,0.19,0.2,0.22,0.21,457,458,502,600,4197418,4568393,5114861,5796053,9.75E-06
91,3728,4318,4970,5643,569,617,713,761,3943667,3972500,4391667,4896000,0.19,0.17,0.16,0.17,365,421,506,478,4635242,5006065,5386634,5578664,9.36E-06
92,3813,4536,5020,5634,630,662,774,895,3278833,3788167,4017333,4978500,0.18,0.17,0.18,0.19,404,450,492,517,4787530,5207420,5728591,6170737,1.00E-05
93,4049,4535,4931,6072,638,734,756,814,3487500,3853833,4368333,4956000,0.17,0.17,0.18,0.19,419,429,479,483,4719664,5292812,5593581,6147259,9.47E-06
94,3783,4513,5378,5535,687,745,782,840,4289500,4657667,5680000,5182000,0.17,0.18,0.22,0.22,390,477,438,558,5003440,5696480,5687847,5940869,8.67E-06
95,4473,5552,6644,7765,641,663,816,903,3243500,3624333,4037167,4695167,0.2,0.19,0.21,0.22,379,455,489,585,4072439,4548143,4949686,5528433,9.51E-06
96,4375,5127,5712,6636,594,650,682,823,4243833,4587333,4966833,5382333,0.15,0.17,0.19,0.18,388,439,414,490,5182318,5514036,5727642,6104101,9.49E-06
97,5154,5855,6183,7610,636,689,689,727,4592333,4278333,4606500,5432833,0.21,0.18,0.18,0.2,421,486,521,558,4897973,5419659,5362837,5941112,9.67E-06
98,4312,5287,5764,6644,664,691,763,901,3800833,4042333,4295000,5840833,0.17,0.18,0.18,0.22,401,439,468,477,5279127,5636223,5918332,6671825,9.68E-06
99,4498,5302,5947,6758,543,621,623,732,4528000,4814167,5389333,5504000,0.19,0.16,0.18,0.17,507,516,492,536,5268740,5399983,5560039,5968959,8.63E-06
100,4669,5433,5919,7265,585,618,756,775,3494333,3343833,3813833,4784333,0.19,0.19,0.18,0.2,419,391,498,600,4233659,4596260,4949255,5643138,9.63E-06
101,4014,4535,5248,5960,508,575,666,795,4312167,4259167,4582333,5152333,0.17,0.15,0.15,0.19,381,412,460,467,5173033,5537552,5838071,6204494,9.33E-06
102,4747,5453,6085,7200,715,667,754,967,3866667,4141667,4546833,5261500,0.18,0.18,0.19,0.2,409,476,490,535,5285441,5699427,6140803,6763062,9.88E-06
103,4861,5562,6297,7307,651,710,756,911,3797167,4139333,4335500,5244167,0.18,0.18,0.19,0.2,479,478,511,537,5402247,5643061,6081558,6743332,9.88E-06
104,4437,5058,5778,6969,636,596,721,814,4572333,4829833,5194167,5138333,0.17,0.18,0.18,0.17,409,473,487,520,5442903,5619178,6093068,6241497,8.53E-06
105,4616,5562,6244,7661,618,677,725,849,3222000,3427667,3524833,4924333,0.19,0.19,0.18,0.21,315,374,471,579,4404889,4699335,5269460,5803549,9.61E-06
106,3923,4497,4792,5895,582,639,712,731,4204167,4371000,4458500,5138833,0.17,0.18,0.18,0.16,393,476,425,526,5223449,5565567,5673332,6322539,9.28E-06
107,4304,5060,5885,6793,595,661,664,788,3640500,3780500,4191500,5040167,0.18,0.17,0.2,0.19,403,416,478,541,4878023,5254406,5590253,6209017,9.86E-06
108,4725,5553,5944,7091,698,716,787,897,4059500,4116500,4448500,5130667,0.18,0.18,0.18,0.19,458,472,526,539,5518791,5710255,6098151,6690701,9.58E-06
109,4193,4849,5067,6448,602,685,775,782,4462000,4902500,5052500,5122167,0.18,0.2,0.19,0.18,407,489,481,525,5496483,5741720,6008077,6332250,8.74E-06
110,4819,5632,6565,7376,625,706,768,860,3099667,3575167,4040500,4887000,0.18,0.2,0.2,0.22,391,423,487,534,3908690,4372198,5196235,5748887,9.65E-06
